Date,Item,Category,Weight
22/11/09,bucket,plastic,0.56
23/06/08,box,metal,0.98
25/08/23,headphones,metal,0.76
23/12/25,cards,paper,0.42
24/05/16,pouch,plastic,0.56
25/09/14,bottle,metal,1.34

23/07/24,scale,plastic,0.25

2024-01-02,bucket,plastic,0.56
2024-01-03,box,metal,0.98
2024-01-04,headphones,metal,0.76
2024-01-05,cards,paper,0.42
2024-01-06,pouch,plastic,0.56
2024-01-07,bottle,plastic,1.34
2024-01-08,can,metal,0.88
2024-01-09,newspaper,paper,0.67
2024-01-10,wrapper,plastic,0.45
2024-01-11,jar,glass,0.72

2024-01-12,bucket,plastic,0.60
2024-01-13,box,metal,1.05
2024-01-14,earphones,metal,0.70
2024-01-15,notebook,paper,0.50
2024-01-16,pouch,plastic,0.58
2024-01-17,bottle,plastic,1.40
2024-01-18,can,metal,0.92
2024-01-19,magazine,paper,0.75
2024-01-20,wrapper,plastic,0.48
2024-01-21,jar,glass,0.80

2024-01-22,bucket,plastic,0.62
2024-01-23,box,metal,1.00
2024-01-24,headphones,metal,0.78
2024-01-25,cards,paper,0.46
2024-01-26,pouch,plastic,0.60
2024-01-27,bottle,plastic,1.38
2024-01-28,can,metal,0.90
2024-01-29,newspaper,paper,0.70
2024-01-30,wrapper,plastic,0.50
2024-01-31,jar,glass,0.85

2024-02-01,bucket,plastic,0.65
2024-02-02,box,metal,1.10
2024-02-03,earphones,metal,0.74
2024-02-04,notebook,paper,0.55
2024-02-05,pouch,plastic,0.62
2024-02-06,bottle,plastic,1.42
2024-02-07,can,metal,0.95
2024-02-08,magazine,paper,0.78
2024-02-09,wrapper,plastic,0.52
2024-02-10,jar,glass,0.88

2024-02-11,bucket,plastic,0.68
2024-02-12,box,metal,1.15
2024-02-13,headphones,metal,0.80
2024-02-14,cards,paper,0.48
2024-02-15,pouch,plastic,0.64
2024-02-16,bottle,plastic,1.45
2024-02-17,can,metal,0.98
2024-02-18,newspaper,paper,0.72
2024-02-19,wrapper,plastic,0.55
2024-02-20,jar,glass,0.90
